63419469369231,5,63419469371922,5,1.460667,1,True,True
63419469370731,2,63419469373627,2,1.597333,1,True,True
63419469372227,7,63419469375315,7,1.725333,1,True,True
63419469375224,3,63419469378062,3,1.558667,1,True,True
63419469378219,2,63419469381308,2,1.726,1,True,True
63419469379715,1,63419469382823,1,1.738667,1,True,True
63419469427576,4,63419469430274,4,1.465333,1,True,True
63419469430571,3,63419469433500,3,1.619333,1,True,True
63419469432473,7,63419469435182,7,1.472667,1,True,True
63419469433531,5,63419469436295,5,1.509333,1,True,True
63419469435073,1,63419469437630,1,1.371333,1,True,True
63419469436561,8,63419469439322,8,1.507333,1,True,True
63419469438060,2,63419469440311,2,1.167333,1,True,True
63419469439556,3,63419469441595,3,1.026,1,True,True
63419469441054,4,63419469443092,4,1.025333,1,True,True
63419469442552,5,63419469444648,5,1.064,1,True,True
63419469444050,8,63419469446481,8,1.287333,1,True,True
63419469445548,6,63419469448175,6,1.418,1,True,True
